Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2018),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate
Adams,03/01/2020,0,,0,102811,0,,0
Adams,03/02/2020,0,,0,102811,0,,0
Adams,03/03/2020,0,,0,102811,0,,0
Adams,03/04/2020,0,,0,102811,0,,0
Adams,03/05/2020,0,,0,102811,0,,0
Adams,03/06/2020,0,,0,102811,0,,0
Adams,03/07/2020,0,,0,102811,0,,0
Adams,03/08/2020,0,0,0,102811,0,0,0
Adams,03/09/2020,0,0,0,102811,0,0,0
Adams,03/10/2020,0,0,0,102811,0,0,0
Adams,03/11/2020,0,0,0,102811,0,0,0
Adams,03/12/2020,0,0,0,102811,0,0,0
Adams,03/13/2020,0,0,0,102811,0,0,0
Adams,03/14/2020,0,0,0,102811,0,0,0
Adams,03/15/2020,0,0,0,102811,0,0,0
Adams,03/16/2020,0,0,0,102811,0,0,0
Adams,03/17/2020,0,0,0,102811,0,0,0
Adams,03/18/2020,1,0.1,1,102811,1,0.1,1
Adams,03/19/2020,3,0.6,4,102811,2.9,0.6,3.9
Adams,03/20/2020,0,0.6,4,102811,0,0.6,3.9
Adams,03/21/2020,2,0.9,6,102811,1.9,0.8,5.8
Adams,03/22/2020,1,1,7,102811,1,1,6.8
Adams,03/23/2020,0,1,7,102811,0,1,6.8
Adams,03/24/2020,0,1,7,102811,0,1,6.8
Adams,03/25/2020,0,0.9,7,102811,0,0.8,6.8
Adams,03/26/2020,1,0.6,8,102811,1,0.6,7.8
Adams,03/27/2020,1,0.7,9,102811,1,0.7,8.8
Adams,03/28/2020,0,0.4,9,102811,0,0.4,8.8
Adams,03/29/2020,0,0.3,9,102811,0,0.3,8.8
Adams,03/30/2020,1,0.4,10,102811,1,0.4,9.7
Adams,03/31/2020,4,1,14,102811,3.9,1,13.6
Adams,04/01/2020,5,1.7,19,102811,4.9,1.7,18.5
Adams,04/02/2020,3,2,22,102811,2.9,1.9,21.4
Adams,04/03/2020,4,2.4,26,102811,3.9,2.4,25.3
Adams,04/04/2020,2,2.7,28,102811,1.9,2.6,27.2
Adams,04/05/2020,4,3.3,32,102811,3.9,3.2,31.1
Adams,04/06/2020,3,3.6,35,102811,2.9,3.5,34
Adams,04/07/2020,5,3.7,40,102811,4.9,3.6,38.9
Adams,04/08/2020,7,4,47,102811,6.8,3.9,45.7
Adams,04/09/2020,5,4.3,52,102811,4.9,4.2,50.6
Adams,04/10/2020,1,3.9,53,102811,1,3.8,51.6
Adams,04/11/2020,3,4,56,102811,2.9,3.9,54.5
Adams,04/12/2020,8,4.6,64,102811,7.8,4.4,62.3
Adams,04/13/2020,7,5.1,71,102811,6.8,5,69.1
Adams,04/14/2020,1,4.6,72,102811,1,4.4,70
Adams,04/15/2020,3,4,75,102811,2.9,3.9,72.9
Adams,04/16/2020,5,4,80,102811,4.9,3.9,77.8
Adams,04/17/2020,4,4.4,84,102811,3.9,4.3,81.7
Adams,04/18/2020,4,4.6,88,102811,3.9,4.4,85.6
Adams,04/19/2020,6,4.3,94,102811,5.8,4.2,91.4
Adams,04/20/2020,5,4,99,102811,4.9,3.9,96.3
Adams,04/21/2020,2,4.1,101,102811,1.9,4,98.2
Adams,04/22/2020,5,4.4,106,102811,4.9,4.3,103.1
Adams,04/23/2020,13,5.6,119,102811,12.6,5.4,115.7
Adams,04/24/2020,4,5.6,123,102811,3.9,5.4,119.6
Adams,04/25/2020,4,5.6,127,102811,3.9,5.4,123.5
Adams,04/26/2020,5,5.4,132,102811,4.9,5.3,128.4
Adams,04/27/2020,3,5.1,135,102811,2.9,5,131.3
Adams,04/28/2020,4,5.4,139,102811,3.9,5.3,135.2
Adams,04/29/2020,5,5.4,144,102811,4.9,5.3,140.1
Adams,04/30/2020,3,4,147,102811,2.9,3.9,143
Adams,05/01/2020,2,3.7,149,102811,1.9,3.6,144.9
Adams,05/02/2020,4,3.7,153,102811,3.9,3.6,148.8
Adams,05/03/2020,2,3.3,155,102811,1.9,3.2,150.8
Adams,05/04/2020,0,2.9,155,102811,0,2.8,150.8
Adams,05/05/2020,1,2.4,156,102811,1,2.4,151.7
Adams,05/06/2020,1,1.9,157,102811,1,1.8,152.7
Adams,05/07/2020,3,1.9,160,102811,2.9,1.8,155.6
Adams,05/08/2020,2,1.9,162,102811,1.9,1.8,157.6
Adams,05/09/2020,3,1.7,165,102811,2.9,1.7,160.5
Adams,05/10/2020,7,2.4,172,102811,6.8,2.4,167.3
Adams,05/11/2020,0,2.4,172,102811,0,2.4,167.3
Adams,05/12/2020,2,2.6,174,102811,1.9,2.5,169.2
Adams,05/13/2020,5,3.1,179,102811,4.9,3.1,174.1
Adams,05/14/2020,9,4,188,102811,8.8,3.9,182.9
Adams,05/15/2020,1,3.9,189,102811,1,3.8,183.8
Adams,05/16/2020,5,4.1,194,102811,4.9,4,188.7
Adams,05/17/2020,4,3.7,198,102811,3.9,3.6,192.6
Adams,05/18/2020,0,3.7,198,102811,0,3.6,192.6
Adams,05/19/2020,2,3.7,200,102811,1.9,3.6,194.5
Adams,05/20/2020,7,4,207,102811,6.8,3.9,201.3
Adams,05/21/2020,11,4.3,218,102811,10.7,4.2,212
Adams,05/22/2020,6,5,224,102811,5.8,4.9,217.9
Adams,05/23/2020,4,4.9,228,102811,3.9,4.7,221.8
Adams,05/24/2020,2,4.6,230,102811,1.9,4.4,223.7
Adams,05/25/2020,6,5.4,236,102811,5.8,5.3,229.5
Adams,05/26/2020,2,5.4,238,102811,1.9,5.3,231.5
Adams,05/27/2020,4,5,242,102811,3.9,4.9,235.4
Adams,05/28/2020,1,3.6,243,102811,1,3.5,236.4
Adams,05/29/2020,4,3.3,247,102811,3.9,3.2,240.2
Adams,05/30/2020,5,3.4,252,102811,4.9,3.3,245.1
Adams,05/31/2020,0,3.1,252,102811,0,3.1,245.1
Adams,06/01/2020,5,3,257,102811,4.9,2.9,250
Adams,06/02/2020,5,3.4,262,102811,4.9,3.3,254.8
Adams,06/03/2020,3,3.3,265,102811,2.9,3.2,257.8
Adams,06/04/2020,0,3.1,265,102811,0,3.1,257.8
Adams,06/05/2020,8,3.7,273,102811,7.8,3.6,265.5
Adams,06/06/2020,2,3.3,275,102811,1.9,3.2,267.5
Adams,06/07/2020,2,3.6,277,102811,1.9,3.5,269.4
Adams,06/08/2020,0,2.9,277,102811,0,2.8,269.4
Adams,06/09/2020,2,2.4,279,102811,1.9,2.4,271.4
Adams,06/10/2020,2,2.3,281,102811,1.9,2.2,273.3
Adams,06/11/2020,5,3,286,102811,4.9,2.9,278.2
Adams,06/12/2020,4,2.4,290,102811,3.9,2.4,282.1
Adams,06/13/2020,2,2.4,292,102811,1.9,2.4,284
Adams,06/14/2020,5,2.9,297,102811,4.9,2.8,288.9
Adams,06/15/2020,2,3.1,299,102811,1.9,3.1,290.8
Adams,06/16/2020,2,3.1,301,102811,1.9,3.1,292.8
Adams,06/17/2020,4,3.4,305,102811,3.9,3.3,296.7
Adams,06/18/2020,5,3.4,310,102811,4.9,3.3,301.5
Adams,06/19/2020,1,3,311,102811,1,2.9,302.5
Adams,06/20/2020,4,3.3,315,102811,3.9,3.2,306.4
Adams,06/21/2020,3,3,318,102811,2.9,2.9,309.3
Adams,06/22/2020,4,3.3,322,102811,3.9,3.2,313.2
Adams,06/23/2020,0,3,322,102811,0,2.9,313.2
Adams,06/24/2020,2,2.7,324,102811,1.9,2.6,315.1
Adams,06/25/2020,1,2.1,325,102811,1,2.1,316.1
Adams,06/26/2020,3,2.4,328,102811,2.9,2.4,319
Adams,06/27/2020,1,2,329,102811,1,1.9,320
Adams,06/28/2020,4,2.1,333,102811,3.9,2.1,323.9
Adams,06/29/2020,7,2.6,340,102811,6.8,2.5,330.7
Adams,06/30/2020,2,2.9,342,102811,1.9,2.8,332.6
Adams,07/01/2020,1,2.7,343,102811,1,2.6,333.6
Adams,07/02/2020,2,2.9,345,102811,1.9,2.8,335.6
Adams,07/03/2020,3,2.9,348,102811,2.9,2.8,338.5
Adams,07/04/2020,0,2.7,348,102811,0,2.6,338.5
Adams,07/05/2020,0,2.1,348,102811,0,2.1,338.5
Adams,07/06/2020,7,2.1,355,102811,6.8,2.1,345.3
Adams,07/07/2020,5,2.6,360,102811,4.9,2.5,350.2
Adams,07/08/2020,6,3.3,366,102811,5.8,3.2,356
Adams,07/09/2020,11,4.6,377,102811,10.7,4.4,366.7
Adams,07/10/2020,8,5.3,385,102811,7.8,5.1,374.5
Adams,07/11/2020,10,6.7,395,102811,9.7,6.5,384.2
Adams,07/12/2020,3,7.1,398,102811,2.9,6.9,387.1
Adams,07/13/2020,2,6.4,400,102811,1.9,6.3,389.1
Adams,07/14/2020,1,5.9,401,102811,1,5.7,390
Adams,07/15/2020,7,6,408,102811,6.8,5.8,396.8
Adams,07/16/2020,1,4.6,409,102811,1,4.4,397.8
Adams,07/17/2020,2,3.7,411,102811,1.9,3.6,399.8
Adams,07/18/2020,1,2.4,412,102811,1,2.4,400.7
Adams,07/19/2020,2,2.3,414,102811,1.9,2.2,402.7
Adams,07/20/2020,7,3,421,102811,6.8,2.9,409.5
Adams,07/21/2020,3,3.3,424,102811,2.9,3.2,412.4
Adams,07/22/2020,12,4,436,102811,11.7,3.9,424.1
Adams,07/23/2020,4,4.4,440,102811,3.9,4.3,428
Adams,07/24/2020,2,4.4,442,102811,1.9,4.3,429.9
Adams,07/25/2020,0,4.3,442,102811,0,4.2,429.9
Adams,07/26/2020,0,4,442,102811,0,3.9,429.9
Adams,07/27/2020,6,3.9,448,102811,5.8,3.8,435.8
Adams,07/28/2020,7,4.4,455,102811,6.8,4.3,442.6
Adams,07/29/2020,7,3.7,462,102811,6.8,3.6,449.4
Adams,07/30/2020,2,3.4,464,102811,1.9,3.3,451.3
Adams,07/31/2020,6,4,470,102811,5.8,3.9,457.1
Adams,08/01/2020,5,4.7,475,102811,4.9,4.6,462
Adams,08/02/2020,5,5.4,480,102811,4.9,5.3,466.9
Adams,08/03/2020,2,4.9,482,102811,1.9,4.7,468.8
Adams,08/04/2020,2,4.1,484,102811,1.9,4,470.8
Adams,08/05/2020,7,4.1,491,102811,6.8,4,477.6
Adams,08/06/2020,6,4.7,497,102811,5.8,4.6,483.4
Adams,08/07/2020,2,4.1,499,102811,1.9,4,485.4
Adams,08/08/2020,20,6.3,519,102811,19.5,6.1,504.8
Adams,08/09/2020,6,6.4,525,102811,5.8,6.3,510.6
Adams,08/10/2020,7,7.1,532,102811,6.8,6.9,517.5
Adams,08/11/2020,4,7.4,536,102811,3.9,7.2,521.3
Adams,08/12/2020,6,7.3,542,102811,5.8,7.1,527.2
Adams,08/13/2020,4,7,546,102811,3.9,6.8,531.1
Adams,08/14/2020,2,7,548,102811,1.9,6.8,533
Adams,08/15/2020,2,4.4,550,102811,1.9,4.3,535
Adams,08/16/2020,0,3.6,550,102811,0,3.5,535
Adams,08/17/2020,0,2.6,550,102811,0,2.5,535
Adams,08/18/2020,4,2.6,554,102811,3.9,2.5,538.9
Adams,08/19/2020,5,2.4,559,102811,4.9,2.4,543.7
Adams,08/20/2020,4,2.4,563,102811,3.9,2.4,547.6
Adams,08/21/2020,5,2.9,568,102811,4.9,2.8,552.5
Adams,08/22/2020,2,2.9,570,102811,1.9,2.8,554.4
Adams,08/23/2020,3,3.3,573,102811,2.9,3.2,557.3
Adams,08/24/2020,2,3.6,575,102811,1.9,3.5,559.3
Adams,08/25/2020,6,3.9,581,102811,5.8,3.8,565.1
Adams,08/26/2020,5,3.9,586,102811,4.9,3.8,570
Adams,08/27/2020,15,5.4,601,102811,14.6,5.3,584.6
Adams,08/28/2020,31,9.1,632,102811,30.2,8.9,614.7
Adams,08/29/2020,6,9.7,638,102811,5.8,9.4,620.6
Adams,08/30/2020,5,10,643,102811,4.9,9.7,625.4
Adams,08/31/2020,7,10.7,650,102811,6.8,10.4,632.2
Adams,09/01/2020,31,14.3,681,102811,30.2,13.9,662.4
Adams,09/02/2020,11,15.1,692,102811,10.7,14.7,673.1
Adams,09/03/2020,9,14.3,701,102811,8.8,13.9,681.8
Adams,09/04/2020,6,10.7,707,102811,5.8,10.4,687.7
Adams,09/05/2020,3,10.3,710,102811,2.9,10,690.6
Adams,09/06/2020,3,10,713,102811,2.9,9.7,693.5
Adams,09/07/2020,3,9.4,716,102811,2.9,9.2,696.4
Adams,09/08/2020,7,6,723,102811,6.8,5.8,703.2
Adams,09/09/2020,1,4.6,724,102811,1,4.4,704.2
Adams,09/10/2020,2,3.6,726,102811,1.9,3.5,706.2
Adams,09/11/2020,11,4.3,737,102811,10.7,4.2,716.8
Adams,09/12/2020,2,4.1,739,102811,1.9,4,718.8
Adams,09/13/2020,4,4.3,743,102811,3.9,4.2,722.7
Adams,09/14/2020,11,5.4,754,102811,10.7,5.3,733.4
Adams,09/15/2020,7,5.4,761,102811,6.8,5.3,740.2
Adams,09/16/2020,7,6.3,768,102811,6.8,6.1,747
Adams,09/17/2020,2,6.3,770,102811,1.9,6.1,748.9
Adams,09/18/2020,16,7,786,102811,15.6,6.8,764.5
Adams,09/19/2020,5,7.4,791,102811,4.9,7.2,769.4
Adams,09/20/2020,8,8,799,102811,7.8,7.8,777.2
Adams,09/21/2020,9,7.7,808,102811,8.8,7.5,785.9
Adams,09/22/2020,6,7.6,814,102811,5.8,7.4,791.7
Adams,09/23/2020,5,7.3,819,102811,4.9,7.1,796.6
Adams,09/24/2020,7,8,826,102811,6.8,7.8,803.4
Adams,09/25/2020,2,6,828,102811,1.9,5.8,805.4
Adams,09/26/2020,7,6.3,835,102811,6.8,6.1,812.2
Adams,09/27/2020,2,5.4,837,102811,1.9,5.3,814.1
Adams,09/28/2020,5,4.9,842,102811,4.9,4.7,819
Adams,09/29/2020,10,5.4,852,102811,9.7,5.3,828.7
Adams,09/30/2020,5,5.4,857,102811,4.9,5.3,833.6
Adams,10/01/2020,6,5.3,863,102811,5.8,5.1,839.4
Adams,10/02/2020,16,7.3,879,102811,15.6,7.1,855
Adams,10/03/2020,3,6.7,882,102811,2.9,6.5,857.9
Adams,10/04/2020,4,7,886,102811,3.9,6.8,861.8
Adams,10/05/2020,8,7.4,894,102811,7.8,7.2,869.6
Adams,10/06/2020,10,7.4,904,102811,9.7,7.2,879.3
Adams,10/07/2020,10,8.1,914,102811,9.7,7.9,889
Adams,10/08/2020,6,8.1,920,102811,5.8,7.9,894.8
Adams,10/09/2020,11,7.4,931,102811,10.7,7.2,905.5
Adams,10/10/2020,5,7.7,936,102811,4.9,7.5,910.4
Adams,10/11/2020,4,7.7,940,102811,3.9,7.5,914.3
Adams,10/12/2020,7,7.6,947,102811,6.8,7.4,921.1
Adams,10/13/2020,12,7.9,959,102811,11.7,7.6,932.8
Adams,10/14/2020,5,7.1,964,102811,4.9,6.9,937.6
Adams,10/15/2020,6,7.1,970,102811,5.8,6.9,943.5
Adams,10/16/2020,15,7.7,985,102811,14.6,7.5,958.1
Adams,10/17/2020,10,8.4,995,102811,9.7,8.2,967.8
Adams,10/18/2020,20,10.7,1015,102811,19.5,10.4,987.2
Adams,10/19/2020,15,11.9,1030,102811,14.6,11.5,1001.8
Adams,10/20/2020,4,10.7,1034,102811,3.9,10.4,1005.7
Adams,10/21/2020,9,11.3,1043,102811,8.8,11,1014.5
Adams,10/22/2020,20,13.3,1063,102811,19.5,12.9,1033.9
Adams,10/23/2020,8,12.3,1071,102811,7.8,11.9,1041.7
Adams,10/24/2020,11,12.4,1082,102811,10.7,12.1,1052.4
Adams,10/25/2020,16,11.9,1098,102811,15.6,11.5,1068
Adams,10/26/2020,21,12.7,1119,102811,20.4,12.4,1088.4
Adams,10/27/2020,14,14.1,1133,102811,13.6,13.8,1102
Adams,10/28/2020,14,14.9,1147,102811,13.6,14.5,1115.6
Adams,10/29/2020,12,13.7,1159,102811,11.7,13.3,1127.3
Lycoming,05/14/2020,1,4.4,154,113664,0.9,3.9,135.5
Delaware,11/09/2020,169,166.7,15402,564751,29.9,29.5,2727.2
Union,10/18/2020,3,5.3,640,44785,6.7,11.8,1429
Lycoming,04/20/2020,0,2,48,113664,0,1.8,42.2
Butler,10/25/2020,18,30.3,1634,187888,9.6,16.1,869.7
Montour,06/28/2020,1,0.7,73,18240,5.5,3.9,400.2
Lehigh,07/08/2020,14,13.9,4372,368100,3.8,3.8,1187.7
Greene,06/17/2020,0,0.4,34,36506,0,1.2,93.1
Montgomery,04/03/2020,121,89.9,1084,828604,14.6,10.8,130.8
Mifflin,11/06/2020,17,20.3,579,46222,36.8,43.9,1252.7
Allegheny,03/01/2020,0,,0,1218452,0,,0
Allegheny,03/02/2020,0,,0,1218452,0,,0
Allegheny,03/03/2020,0,,0,1218452,0,,0
Allegheny,03/04/2020,0,,0,1218452,0,,0
Allegheny,03/05/2020,0,,0,1218452,0,,0
Allegheny,03/06/2020,0,,0,1218452,0,,0
Allegheny,03/07/2020,0,,0,1218452,0,,0
Allegheny,03/08/2020,0,0,0,1218452,0,0,0
Allegheny,03/09/2020,0,0,0,1218452,0,0,0
Allegheny,03/10/2020,0,0,0,1218452,0,0,0
Allegheny,03/11/2020,0,0,0,1218452,0,0,0
Allegheny,03/12/2020,0,0,0,1218452,0,0,0
Allegheny,03/13/2020,0,0,0,1218452,0,0,0
Allegheny,03/14/2020,3,0.4,3,1218452,0.2,0,0.2
Allegheny,03/15/2020,0,0.4,3,1218452,0,0,0.2
Allegheny,03/16/2020,2,0.7,5,1218452,0.2,0.1,0.4
Allegheny,03/17/2020,6,1.6,11,1218452,0.5,0.1,0.9
Allegheny,03/18/2020,5,2.3,16,1218452,0.4,0.2,1.3
Allegheny,03/19/2020,13,4.1,29,1218452,1.1,0.3,2.4
Allegheny,03/20/2020,4,4.7,33,1218452,0.3,0.4,2.7
Allegheny,03/21/2020,9,5.6,42,1218452,0.7,0.5,3.4
Allegheny,03/22/2020,10,7,52,1218452,0.8,0.6,4.3
Allegheny,03/23/2020,10,8.1,62,1218452,0.8,0.7,5.1
Allegheny,03/24/2020,29,11.4,91,1218452,2.4,0.9,7.5
Allegheny,03/25/2020,46,17.3,137,1218452,3.8,1.4,11.2
Allegheny,03/26/2020,27,19.3,164,1218452,2.2,1.6,13.5
Allegheny,03/27/2020,61,27.4,225,1218452,5,2.3,18.5
Allegheny,03/28/2020,48,33,273,1218452,3.9,2.7,22.4
Allegheny,03/29/2020,23,34.9,296,1218452,1.9,2.9,24.3
Allegheny,03/30/2020,38,38.9,334,1218452,3.1,3.2,27.4
Allegheny,03/31/2020,40,40.4,374,1218452,3.3,3.3,30.7
Allegheny,04/01/2020,72,44.1,446,1218452,5.9,3.6,36.6
Allegheny,04/02/2020,58,48.6,504,1218452,4.8,4,41.4
Allegheny,04/03/2020,73,50.3,577,1218452,6,4.1,47.4
Allegheny,04/04/2020,48,50.3,625,1218452,3.9,4.1,51.3
Allegheny,04/05/2020,36,52.1,661,1218452,3,4.3,54.2
Allegheny,04/06/2020,53,54.3,714,1218452,4.3,4.5,58.6
Allegheny,04/07/2020,43,54.7,757,1218452,3.5,4.5,62.1
Allegheny,04/08/2020,41,50.3,798,1218452,3.4,4.1,65.5
Allegheny,04/09/2020,37,47.3,835,1218452,3,3.9,68.5
Allegheny,04/10/2020,53,44.4,888,1218452,4.3,3.6,72.9
Allegheny,04/11/2020,33,42.3,921,1218452,2.7,3.5,75.6
Allegheny,04/12/2020,14,39.1,935,1218452,1.1,3.2,76.7
Allegheny,04/13/2020,12,33.3,947,1218452,1,2.7,77.7
Allegheny,04/14/2020,18,29.7,965,1218452,1.5,2.4,79.2
Allegheny,04/15/2020,25,27.4,990,1218452,2.1,2.3,81.3
Allegheny,04/16/2020,17,24.6,1007,1218452,1.4,2,82.6
Allegheny,04/17/2020,65,26.3,1072,1218452,5.3,2.2,88
Allegheny,04/18/2020,31,26,1103,1218452,2.5,2.1,90.5
Allegheny,04/19/2020,10,25.4,1113,1218452,0.8,2.1,91.3
Allegheny,04/20/2020,17,26.1,1130,1218452,1.4,2.1,92.7
Allegheny,04/21/2020,23,26.9,1153,1218452,1.9,2.2,94.6
Allegheny,04/22/2020,77,34.3,1230,1218452,6.3,2.8,100.9
Allegheny,04/23/2020,27,35.7,1257,1218452,2.2,2.9,103.2
Allegheny,04/24/2020,20,29.3,1277,1218452,1.6,2.4,104.8
Allegheny,04/25/2020,8,26,1285,1218452,0.7,2.1,105.5
Allegheny,04/26/2020,7,25.6,1292,1218452,0.6,2.1,106
Allegheny,04/27/2020,15,25.3,1307,1218452,1.2,2.1,107.3
Allegheny,04/28/2020,33,26.7,1340,1218452,2.7,2.2,110
Allegheny,04/29/2020,16,18,1356,1218452,1.3,1.5,111.3
Allegheny,04/30/2020,24,17.6,1380,1218452,2,1.4,113.3
Allegheny,05/01/2020,16,17,1396,1218452,1.3,1.4,114.6
Allegheny,05/02/2020,12,17.6,1408,1218452,1,1.4,115.6
Allegheny,05/03/2020,19,19.3,1427,1218452,1.6,1.6,117.1
Allegheny,05/04/2020,7,18.1,1434,1218452,0.6,1.5,117.7
Allegheny,05/05/2020,21,16.4,1455,1218452,1.7,1.3,119.4
Allegheny,05/06/2020,40,19.9,1495,1218452,3.3,1.6,122.7
Allegheny,05/07/2020,9,17.7,1504,1218452,0.7,1.5,123.4
Allegheny,05/08/2020,29,19.6,1533,1218452,2.4,1.6,125.8
Allegheny,05/09/2020,20,20.7,1553,1218452,1.6,1.7,127.5
Allegheny,05/10/2020,6,18.9,1559,1218452,0.5,1.5,127.9
Allegheny,05/11/2020,13,19.7,1572,1218452,1.1,1.6,129
Allegheny,05/12/2020,26,20.4,1598,1218452,2.1,1.7,131.2
Allegheny,05/13/2020,10,16.1,1608,1218452,0.8,1.3,132
Allegheny,05/14/2020,29,19,1637,1218452,2.4,1.6,134.4
Allegheny,05/15/2020,18,17.4,1655,1218452,1.5,1.4,135.8
Allegheny,05/16/2020,7,15.6,1662,1218452,0.6,1.3,136.4
Chester,07/07/2020,31,23.6,3903,522046,5.9,4.5,747.6
Lycoming,08/29/2020,11,5.7,520,113664,9.7,5,457.5
Greene,11/21/2020,5,19.6,584,36506,13.7,53.6,1599.7
Chester,04/15/2020,40,39.7,753,522046,7.7,7.6,144.2
Union,10/16/2020,4,5.6,631,44785,8.9,12.4,1409
Monroe,08/12/2020,5,6.1,1657,169507,2.9,3.6,977.5
Carbon,11/13/2020,22,23,867,64227,34.3,35.8,1349.9
Allegheny,10/13/2020,104,91.9,13548,1218452,8.5,7.5,1111.9
Philadelphia,04/06/2020,385,409.1,4154,1584138,24.3,25.8,262.2
Monroe,09/26/2020,1,3,1794,169507,0.6,1.8,1058.4
Lehigh,08/01/2020,22,23,4851,368100,6,6.2,1317.8
Philadelphia,10/05/2020,134,125,33119,1584138,8.5,7.9,2090.7
Philadelphia,10/14/2020,194,199.1,34954,1584138,12.2,12.6,2206.5
Montgomery,08/24/2020,22,41.6,10830,828604,2.7,5,1307
Elk,09/18/2020,0,0,70,30169,0,0,232
Berks,07/14/2020,26,16.3,4745,420152,6.2,3.9,1129.4
Monroe,07/27/2020,3,4.6,1564,169507,1.8,2.7,922.7
Montour,09/17/2020,0,0.7,162,18240,0,3.9,888.2
Columbia,11/12/2020,11,10,1192,65456,16.8,15.3,1821.1
Elk,10/28/2020,4,5.1,174,30169,13.3,17,576.8
Columbia,10/28/2020,6,3.4,1063,65456,9.2,5.2,1624
Schuylkill,08/22/2020,0,3.3,979,142067,0,2.3,689.1
Delaware,07/20/2020,58,50.1,7983,564751,10.3,8.9,1413.5
Greene,05/24/2020,0,0,28,36506,0,0,76.7
Lehigh,10/03/2020,20,21.7,5783,368100,5.4,5.9,1571
Lancaster,07/20/2020,39,35.1,5119,543557,7.2,6.5,941.8
Carbon,11/20/2020,19,23.6,1032,64227,29.6,36.7,1606.8
Pennsylvania,06/12/2020,432,473.4,78595,12807060,3.4,3.7,613.7
Elk,08/11/2020,4,1.1,58,30169,13.3,3.8,192.3
Northampton,08/22/2020,8,6.6,4059,304807,2.6,2.2,1331.7
Union,11/02/2020,3,7.1,746,44785,6.7,15.9,1665.7
Carbon,08/13/2020,3,2,382,64227,4.7,3.1,594.8
Columbia,11/15/2020,2,10.1,1216,65456,3.1,15.5,1857.7
Bradford,11/01/2020,45,39.9,940,60833,74,65.5,1545.2
Schuylkill,09/03/2020,1,2.3,1006,142067,0.7,1.6,708.1
Montgomery,04/26/2020,90,116.1,4117,828604,10.9,14,496.9
Schuylkill,08/27/2020,3,2.6,990,142067,2.1,1.8,696.9
Washington,11/14/2020,104,77.4,3036,207346,50.2,37.3,1464.2
Westmoreland,09/14/2020,10,12.4,1999,350611,2.9,3.5,570.1
Greene,11/06/2020,14,8.9,328,36506,38.3,24.3,898.5
Luzerne,07/12/2020,7,8.7,3028,317646,2.2,2.7,953.3
Lycoming,04/18/2020,1,2.3,44,113664,0.9,2,38.7
Montgomery,04/29/2020,142,142.1,4674,828604,17.1,17.2,564.1
Beaver,08/02/2020,7,16.6,1249,164742,4.2,10.1,758.2
Lancaster,11/18/2020,327,252,13235,543557,60.2,46.4,2434.9
Chester,08/07/2020,32,29.6,5095,522046,6.1,5.7,976
Pennsylvania,11/17/2020,6650,5553,282832,12807060,51.9,43.4,2208.4
Chester,07/18/2020,50,40.1,4312,522046,9.6,7.7,826
Centre,07/01/2020,6,2.1,214,162805,3.7,1.3,131.4
Pennsylvania,11/05/2020,3481,2670,224515,12807060,27.2,20.8,1753.1
Delaware,11/15/2020,179,219.9,16772,564751,31.7,38.9,2969.8
Lancaster,10/16/2020,85,54.6,8909,543557,15.6,10,1639
Lancaster,04/26/2020,48,57.7,1715,543557,8.8,10.6,315.5
Berks,11/07/2020,72,101,10355,420152,17.1,24,2464.6
Lancaster,10/11/2020,46,55.7,8614,543557,8.5,10.2,1584.7
Berks,07/18/2020,23,19.1,4828,420152,5.5,4.6,1149.1
Montgomery,06/30/2020,37,44.1,8559,828604,4.5,5.3,1032.9
Allegheny,06/13/2020,2,11.1,2099,1218452,0.2,0.9,172.3
Butler,10/06/2020,24,14.9,1180,187888,12.8,7.9,628
Clearfield,11/18/2020,39,44.3,1016,79388,49.1,55.8,1279.8
Montour,11/20/2020,6,5.4,403,18240,32.9,29.8,2209.4
Lycoming,10/22/2020,4,6.4,916,113664,3.5,5.7,805.9
Cumberland,06/16/2020,6,8.7,759,251423,2.4,3.5,301.9
Beaver,11/16/2020,49,51.9,2915,164742,29.7,31.5,1769.4
Centre,09/23/2020,117,85.1,2253,162805,71.9,52.3,1383.9
Lancaster,05/11/2020,38,39,2364,543557,7,7.2,434.9
Luzerne,09/15/2020,20,11.1,3996,317646,6.3,3.5,1258
Chester,05/02/2020,30,46.7,1583,522046,5.7,8.9,303.2
Lebanon,11/18/2020,76,72.9,4367,141314,53.8,51.6,3090.3
Centre,07/22/2020,4,5.7,304,162805,2.5,3.5,186.7
Lycoming,09/13/2020,1,3.4,587,113664,0.9,3,516.4
Montgomery,11/10/2020,262,193.1,16165,828604,31.6,23.3,1950.9
Clarion,10/20/2020,3,3.3,189,38779,7.7,8.5,487.4
Chester,05/19/2020,15,34,2260,522046,2.9,6.5,432.9
Lycoming,09/08/2020,1,4.7,566,113664,0.9,4.1,498
Blair,10/27/2020,24,22.7,1239,122492,19.6,18.5,1011.5
Fulton,11/18/2020,9,8.1,193,14523,62,56.1,1328.9
Allegheny,07/14/2020,257,201.1,5647,1218452,21.1,16.5,463.5
Delaware,03/25/2020,70,25.3,193,564751,12.4,4.5,34.2
Berks,04/09/2020,111,77.9,772,420152,26.4,18.5,183.7
Allegheny,07/23/2020,180,147.1,7061,1218452,14.8,12.1,579.5
Lackawanna,07/10/2020,3,4.6,1757,210793,1.4,2.2,833.5
Centre,06/16/2020,0,2,177,162805,0,1.2,108.7
